experiment_0,experiment_1,experiment_2,experiment_3,experiment_4,experiment_5,experiment_6,experiment_7,experiment_8,experiment_9
508,5190,336,654,388,1468,1524,300,318,1624
442,3428,766,810,1880,3006,2968,3212,1014,808
350,1086,516,750,3318,3906,1122,668,1024,3994
518,650,462,496,822,1522,1406,662,1666,2686
1260,930,788,442,1300,508,1136,542,1238,2824
594,1450,210,1116,1252,1584,854,2176,840,514
752,880,454,2238,616,1624,4256,592,936,680
726,1036,272,280,198,562,1758,1646,550,318
304,2084,340,642,1360,2950,414,634,466,1116
428,1104,518,1456,1862,2222,1704,592,488,1368
292,4980,198,1026,1456,798,2040,670,226,866
528,542,406,1804,1314,752,1560,510,260,1908
972,5456,588,1144,1532,350,1062,2534,580,288
702,1326,194,828,206,1884,3732,2328,846,1226
520,634,266,1990,1034,460,458,812,538,772
336,2168,244,478,1516,796,1802,548,338,604
518,1066,338,334,854,578,1930,824,536,442
200,1562,288,2816,504,1098,1104,2886,320,742
626,3898,288,2148,476,1874,3706,1828,538,506
604,834,220,1770,1668,1432,7886,336,292,904
766,1792,366,490,1234,808,2374,732,178,740
558,492,294,2076,318,286,724,752,246,594
270,1296,200,436,304,3118,862,750,244,1046
480,710,184,868,1096,728,752,1208,538,458
320,1534,320,1736,430,1050,2546,1972,378,342
258,686,246,714,336,780,2058,2328,300,540
594,888,472,376,440,258,852,580,560,264
332,832,584,504,1294,1062,766,3314,290,778
294,898,182,846,722,184,462,982,680,1054
280,678,356,756,316,586,542,504,418,532
550,714,434,540,168,1430,2698,520,370,338
530,1076,232,582,170,316,1202,1038,384,276
432,1664,326,734,230,1022,4040,876,172,318
434,3576,198,1384,1318,882,984,300,200,484
376,262,144,682,198,506,908,558,286,478
628,1070,222,238,414,142,1632,616,246,578
526,1196,172,296,310,786,970,482,372,396
420,470,360,562,210,624,1474,690,196,260
194,458,160,560,572,1334,1590,540,290,510
302,1242,364,498,314,270,684,558,230,432
544,268,194,710,236,2502,654,874,178,868
172,1418,218,984,248,1304,2912,1460,228,608
286,452,140,230,356,642,524,2290,330,610
338,270,232,1036,154,270,380,1570,202,612
424,388,270,818,542,456,778,550,326,806
398,784,230,500,542,622,1638,998,200,1682
190,1426,172,368,186,786,1450,764,330,404
268,1772,298,386,462,654,540,2000,282,316
406,300,208,384,130,412,1476,704,370,888
662,724,134,378,818,580,1966,794,258,230
852,1414,344,482,272,804,388,1478,496,1054
438,1522,220,2584,906,322,598,372,354,718
236,1464,136,1746,302,520,1488,364,296,300
546,304,284,388,190,312,1402,630,110,474
264,728,252,504,266,580,880,444,340,518
412,722,344,354,180,1118,2628,364,208,340
410,648,152,170,268,334,1500,892,348,1230
324,424,104,524,234,1394,480,694,144,484
346,1276,160,732,480,296,1248,716,246,502
388,712,138,1368,406,812,810,390,334,546
284,1244,158,656,150,600,1776,444,262,868
326,588,176,514,246,622,870,1394,200,464
450,238,168,506,242,664,670,490,214,288
404,910,212,1368,832,808,1230,2544,142,266
292,592,156,686,168,736,866,768,214,586
512,442,230,596,178,1078,1942,318,166,396
376,1120,276,260,586,364,758,740,448,972
200,610,98,336,168,426,306,638,258,474
464,276,226,222,124,706,842,498,186,948
524,328,130,368,136,760,436,878,288,332
404,1322,88,508,354,788,308,564,198,754
298,412,190,410,344,460,1150,308,132,616
252,506,166,1450,198,1326,664,254,144,534
420,348,212,406,130,426,604,254,174,1266
392,628,198,526,714,1674,1006,154,114,416
448,680,210,1190,274,376,1160,722,234,450
242,946,160,374,278,762,1190,204,248,382
236,1200,208,858,198,490,220,658,110,656
190,1198,194,1114,222,376,1084,382,170,810
292,1064,176,254,274,814,2098,214,142,684
198,360,296,1244,256,580,264,562,386,774
342,1184,130,374,276,170,952,416,124,1518
158,616,170,246,174,452,470,2018,232,320
286,246,204,928,156,214,2100,384,210,334
218,474,148,532,200,600,784,640,144,812
174,212,146,666,186,330,724,514,156,766
506,362,100,1668,168,100,922,644,174,822
258,540,160,466,162,858,322,822,210,1730
152,314,270,804,170,310,780,260,246,208
186,1898,140,474,248,352,314,190,178,836
338,2834,252,514,206,828,462,496,114,932
488,646,200,394,390,360,498,354,156,1718
336,586,194,320,244,164,556,446,150,466
480,512,168,246,194,96,850,298,182,700
270,2184,86,1084,146,224,1554,874,140,224
174,348,210,986,134,706,298,446,212,546
194,402,244,932,266,248,1154,1066,220,206
346,1062,300,244,228,252,678,222,96,612
304,640,170,518,180,456,356,350,220,444
170,1482,216,280,164,332,996,166,200,206
412,1056,236,1412,272,342,1226,598,190,626
306,2182,110,340,114,640,586,216,212,372
180,3234,180,280,912,192,1580,570,136,604
270,376,246,1152,216,408,1280,284,166,850
292,496,126,1162,188,244,1058,174,208,294
430,586,204,282,102,168,266,726,210,324
254,284,318,636,110,218,318,236,194,552
